"","x"
"1866","One thing that is clear in football, as Poz is doing this: the list should really be separated by era.  

And looking back at baseball: 2nd YOUNGEST top 12 player is Hank Aaron, born 1934. If we look at the top 12 in hockey, Gordie Howe, born 1928, would probably be 2nd OLDEST. https://t.co/6k6SsFICpJ"
"1867","@AndrewPerpetua Just asking about the point you were making about having ""defense attorneys""."
"1868","@CDNBaseballNet @elliottbaseball @dannogallagher7 His LinkedIn post:

https://t.co/9Q79vut8Ze"
"1869","@ReallySeamus Yup, see this thread: 

https://t.co/gL1aZC1wg9"
"1870","@AndrewPerpetua RBG wasn't a ""defense attorney"", but being an attorney for a plaintiff against the government would seem to be equivalent, no?"
"1871","86% of first-time voters voted for Bonds/Clemens since 2018.

Maybe have term-limits on voters.  Only let the 100 most recent eligible vote.  That would better represent the actual view of fandom. https://t.co/3rAxJlB8Uw https://t.co/IRGSnemoMv"
"1872","Exactly.  In hockey, we talk about who made it in.  We don't talk about who is left out.  (Mostly because whoever is left out is voted in within a year or two anyway.)

If you do rank balloting, and select the top 3 each year, it becomes an unbiased celebration. https://t.co/Uk2q0UaIS7 https://t.co/MdFUCZ4Rst"
"1873","@duchar19 Good memory:

https://t.co/IxNeDCydDR"
"1874","Source: https://t.co/S1T7bko8wm

https://t.co/WHxuSWHarf"
"1875","Nathan faced 1509 batters in high-lev situations.
Johan faced 1229 batters in high LI.

Nathan faced 973 batters in med LI.
Johan faced 3703 in med LI.

High leverage situations do not only exist in the 9th inning.  If they did, Johan would not have been ""freed"" from the bullpen."
"1876","@RyanBaranowski If we remove 100 wins from BB for character, we should add 100 wins for character for Murphy."
"1877","@AlexanderRaine7 One of the first to use the PK as a scoring opportunity.  He still owns the record for most PK points in a season, 23. https://t.co/UDopzKaojn"
"1878","My most enduring Gretzky memory?  I have two.  One is the winning goal with Mario in 1987.  

The other is his outstanding performance in this Bo Jackson commercial:

https://t.co/1Z6hYfoBYs"
"1879","@joemadison89 Right, just like the awards.  They know they are one of the 40 that will count.  They know they have one crack at a player."
"1880","In addition, by limiting number of voters to 40, each will get to vote once every 10 years. And that means they get ONE CRACK at a player. No more ""I'll check in next year"". If they don't vote for that player, he'll be off the ballot by the time that voter is eligible again."
"1881","Football for example has 48 voters.  Basketball has 24 voters.  Hockey has 18 voters.

Baseball has about 400."
"1882","As it stands, the 400 member-voters are representative of the BBWAA, and NOT baseball fandom.  We want voters who ARE representative of baseball fandom."
"1883","With 400 members, and all of them vote, and this happens year after year, you are NOT getting a diverse group.

HOWEVER, if you select 40 of them to vote at random, after 10 years, eventually ONE group will be representative of baseball fandom. That group would select BB/RC."
"1884","@Pfeiffer86 So while the rest of us are moving three steps forward, the voters are taking two steps?

In other words, instead of leading, they are one step behind the times."
"1885","How relevant do you find the members of the U.S. Congress?"
"1886","How relevant do you find the voters for the HOF?"
"1887","@JoeLarson12 @bballonthebrain WAR does give the relievers value for leverage.  I just give half credit for the leverage, not full credit"
"1888","@spielblog @Kerbabble @DavidBowserRuns A poor fielding 1B has the same defensive value as a DH.  That's how I set the positional value in WAR"
"1889","@JoeLarson12 @bballonthebrain There are two issues with using WPA as you are doing here:

1. The baseline is average, implying than any performance below average has negative value

2. The reliever is given full value for the leverage situation that was handed to him"
"1890","@damonkimble @jimcaple Yes, web design standards of 2005 was the NFT of its time."
"1891","@samlub Last time they had only one inductee, it was a real squeaker. They introduced special rule to get this player inducted.

That was in 1999, and player was elected upon his retirement, no waiting.

Otherwise, they dont have a problem finding at least 2 players to induct every year."
"1892","Of the thousands of articles written since this one from @jimcaple in 2005, nothing has changed in its conclusion.

https://t.co/yxY7kwh8PB https://t.co/6Zk074d67h"
"1893","... safety valve.  In baseball, the safety valve is applied at the front: the vet committee is constrained to vote for 4.  When you have tons of qualified candidates, you get into vote-splitting.

In hockey, the safety valve is at the end.  The math works in hockey, not baseball."
"1894","...  applied at the end: a maximum of 4 players can be elected. In the case that more than 4 players get the 75%+, they go thru a run-off process.

You keep the top 4 vote-getters, and if there's a tie for last place, there's a revote on those players.

The difference is the..."
"1895","How the Hockey Hall of Fame gets (hHOF) it right, and how the Baseball Hall of Fame (bHOF) Vet Committee can learn from it.

Proposal: Every player gets (deserves!) an up-or-down vote.  You have 10 players on the ballot, you vote each one independently.

The ""safety valve"" is..."
"1896","#Wordle221 5*

⬜🟨⬜⬜⬜
🟨⬜⬜⬜⬜
🟨⬜🟩⬜⬜
⬜⬜🟩🟩🟩
🟩🟩🟩🟩🟩"
"1897","@EvolvingWild SQL and C/C++ are the only two languages guaranteed to exist 10 years from now"
"1898","Seinfeld Keith Hernadez on Comedy Central right now"
"1899","He keeps flipping about one of every 4 no's into yes. With 37% no, he should flip another 9 or 10% to yes. Maybe a bit more for such a bare ballot in 2023. https://t.co/2Ihp9TOz6I"
"1900","Billy Wagner received more HOF votes than teammate Roy Oswalt.

Trevor Hoffman received more HOF votes than teammate Kevin Brown.

We can now add this: Joe Nathan received more HOF votes than teammate Johan Santana. https://t.co/0Z999oL3np"
"1901","@sean_forman ""Who ever said the human race was logical?""

https://t.co/GFLMT2WM6V"
"1902","@Pfeiffer86 Commercial channels, all of them"
"1903","All of these are all on.  Which should I rewatch?"
"1904","@thorn_john Oh wonderful!  I did not realize that.  Well done"
"1905","Carpenter got 2 HOF votes four years ago.

Lincecum got 9 today.

I guess it's a good sign that we've got more accepting voters? https://t.co/SDWT19jb2x"
"1906","@Pfeiffer86 Not sure I follow..."
"1907","Excuse me @thorn_john : how come you are not on any of the Vet committees?"
"1908","For five years after retirement and ten years on the ballot, these 15 years has been nothing but Bonds, Clemens and morality. Of which arguments have never changed and no one's position has ever changed. It's finally over

Until November, when they are eligible for the Vet ballot https://t.co/9QaYWjPN6t"
"1909","@JarodAntonovich I think my joke didn't translate well..."
"1910","Not sure how 1 out of every 6 people who follow me thought that Bonds/Clemens would have gotten inducted.

There was 0% chance https://t.co/mZn3wGZtAQ"
"1911","Looks like we need ""aging curves"" for HOF enshrinement... https://t.co/M0haMbz3WR"
"1912","Counterpoint: the ballots should be public https://t.co/YdXHmqS5At"
"1913","Of the 388 ballots non-blank ballots, 260 had Bonds on it (67.0%) and 257 had Clemens (66.2%).  The average is... 66.6%. https://t.co/4ITw6WVbcC"
"1914","https://t.co/nag0OOZKYm https://t.co/hC3eVEp6pu"
"1915","@billjamesonline You definitely don't get the same kind of vibe with the football Hall of Fame."
"1916","@swampudlian @ronbarry21 @tigers @MLB @baseballhall Once Raines got in, I felt the same way.

I feel bad for all the fans of beloved players who were in the boat I was."
"1917","@wovenstrap @StevenGoldleaf @donwinslow In an I Cut / You Choose scenario, it's the most fair thing.  A true coin flip.

The coin flip the NFL uses is not a statistical coin flip.  The may choose a coin to flip, but they are giving the winner of the coin flip a 60%+ chance of winning."
"1918","@BigLoudMoore I'll include Jon Lester, a virtual clone of Cone, in 5 years.  Unless the new wave of voters realize just how much the old voters messed up with Cone, and won't repeat the same mistake."
"1919","I don't know if these are *the* worst, but certainly all are worthy contenders for the title.  Off the top of my head: add in Jim Edmonds, David Cone. https://t.co/TvyXFeepDZ"
"1920","@_cmarg One NFL game tells us as much about the talent level of the two teams as roughly one NBA game does"
"1921","Math is going to be an issue.  Again.

cc: @JPosnanski https://t.co/bPJYz4PkS0"
"1922","@MBrownstein89 Yup, that was in Poz's article"
"1923","@samlub @NickMigs I'm not up on all the rules... I thought it was 15 years from retirement... am I wrong about that?"
"1924","I love this part.

How you rank Pettitte v Buehrle tells us how you view pitching stats. https://t.co/LHG3SUHBf5 https://t.co/v2soulxxgc"
"1925","@DQuinn1575 If the NHL allowed as few teams as MLB, then yes, NHL teams would win more often.  However, NHL introduces more hurdles (more rounds), thereby pulling the better teams down.  

I haven't checked, but that probably makes NHL ~= MLB"
"1926","@GrantMN3 https://t.co/o3MgjTPVan"
"1927","Based on my research of 15 years ago:

1 NFL game 
= 1 NBA game 
=  3 NHL games 
= 6 MLB games

In terms of what it tells us about the talent level of the teams.

https://t.co/145rwdH2e9"
"1928","@Three4Three Doesn't matter... just like Larry Walker made a HUGE leap (20 points) in one season, Rolen is guaranteed to make at least a 10 point jump next year.

Those who voted for Bonds/Clemens, but not Rolen will take a 2nd look.

He'll either be the best or 2nd best player on the ballot."
"1929","@BadCane He'll fall off the ballot due to being inducted on his first try"
"1930","@Jackie_Ballgame Rolen will get in. Not this year, but probably next year, and certainly by 2024 he's guaranteed.

Bonds might get it in ~2027, depending on the makeup of the vet committee."
"1931","@NickMigs We're nowhere close to a paradigm shift.  Maybe in ~5 years, when Bonds, Clemens, Schilling show up on the Vet committee ballot, we'll see how they do there."
"1932","Once Clemens, Bonds, Schilling, Sosa (and hopefully Ortiz) fall off the ballot, those ~3 votes per ballot will have to go somewhere.  

With only Beltran a viable new candidate next year, Rolen will take a huge leap forward, likely enough to get him over 75%."
"1933","Do you Wordle daily?"
"1934","@itstameena How odd... what happens if you click in that empty spot?"
"1935","@itstameena https://t.co/41zEdV6c0p"
"1936","@samuelldrew I think we figured out your starter word"
"1937","@K_Pawetry Can you DM me your last two words, I'm not following what you are saying"
"1938","For some folks, outsourcing is a non starter. The more specialized the data, the more likely to build in house https://t.co/Jyo7F02AlC"
"1939","@K_Pawetry In your penultimate, you had all 5 letters. How'd you get to 4 after that?"
"1940","#Wordle220 4*

⬜🟨⬜🟨⬜
🟨🟨🟨🟨⬜
🟩🟨🟨🟨⬜
🟩🟩🟩🟩🟩"
"1941","@symphyotrichum Runner on 1B, 0 outs is probably the closest.  

Runner on 2B, 1 out is good too."
"1942","@jjcoop36 @FLProBaseball At 5.33 runs per 9 IP on average, I estimate that the chance of scoring will get pretty close to 50%.  Different teams means it'll likely have it above and below that.  And especially where you are in the batting order, which is a big deal.

https://t.co/a6aG2UXL60 https://t.co/CXRpTXJQEH"
